smiles, logK
[H]C(=O)[O-]->[Cu+2], 1.96
[H]C(=O)[O-]->[Ca+2], 0.91
[H]C(=O)[O-]->[Pr+3], 1.81
[H]C(=O)[O-]->[Lu+3], 1.66
[H]C(=O)[O-]->[Ce+3], 1.79
[H]C(=O)[O-]->[Pd+2], 4.28
[H]C(=O)[O-]->[Y+3], 1.79
[H]C(=O)[O-]->[Mg+2], 1.09
[H]c1c([H])c([H])n2->[La+3]<-[O-]C(=O)c2c1[H], 4.18
[H]c1c([H])c([H])n2->[In+3]<-[O-]C(=O)c2c1[H], 6.48
[H]c1c([H])c([H])n2->[Ce+3]<-[O-]C(=O)c2c1[H], 4.35
[H]c1c([H])c([H])n2->[Ca+2]<-[O-]C(=O)c2c1[H], 2.24
[H]c1c([H])c([H])n2->[Al+3]<-[O-]C(=O)c2c1[H], 5.31
[H]c1c([H])c([H])n2->[Ho+3]<-[O-]C(=O)c2c1[H], 4.88
[H]c1c([H])c([H])n2->[Mn+2]<-[O-]C(=O)c2c1[H], 3.95
[H]c1c([H])c([H])n2->[Er+3]<-[O-]C(=O)c2c1[H], 4.93
[H]c1c([H])c([H])n2->[Cd+2]<-[O-]C(=O)c2c1[H], 4.84
[H]c1c([H])c([H])n2->[Ni+2]<-[O-]C(=O)c2c1[H], 7.21
[H]c1c([H])c([H])n2->[Nd+3]<-[O-]C(=O)c2c1[H], 4.52
[H]c1c([H])c([H])n2->[Co+2]<-[O-]C(=O)c2c1[H], 6.22
[H]c1c([H])c([H])n2->[Ag+]<-[O-]C(=O)c2c1[H], 3.68
[H]c1c([H])c([H])n2->[Mg+2]<-[O-]C(=O)c2c1[H], 2.73
[H]c1c([H])c([H])n2->[V+2]<-[O-]C(=O)c2c1[H], 7.16
[H]c1c([H])c([H])n2->[Pu+2]<-[O-]C(=O)c2c1[H], 5.03
[H]c1c([H])c([H])n2->[Ba+2]<-[O-]C(=O)c2c1[H], 1.87
[H]c1c([H])c([H])n2->[Fe+3]<-[O-]C(=O)c2c1[H], 6.78
[H]c1c([H])c([H])n2->[Fe+2]<-[O-]C(=O)c2c1[H], 5.19
[H]c1c([H])c([H])n2->[Sr+2]<-[O-]C(=O)c2c1[H], 1.99
[H]c1c([H])c([H])n2->[Sm+3]<-[O-]C(=O)c2c1[H], 4.66
[H]c1c([H])c([H])n2->[Pr+3]<-[O-]C(=O)c2c1[H], 4.46
[H]c1c([H])c([H])n2->[Dy+3]<-[O-]C(=O)c2c1[H], 4.84
[H]c1c([H])c([H])n2->[Eu+3]<-[O-]C(=O)c2c1[H], 4.66
[H]c1c([H])c([H])n2->[Tb+3]<-[O-]C(=O)c2c1[H], 4.77
