smiles, logK
[Tb+3].NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O, 7.39
[Dy+3].NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O, 7.5
[Gd+3].NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O, 7.01
[Ho+3].NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O, 7.5
[Nd+3].NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O, 7
[Pr+3].NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O, 6.88
[Sm+3].NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O, 7.1
[Yb+3].NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O, 7.81
[Ce+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 13.56
[Eu+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 14.9
[Tb+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 14.82
[Dy+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 14.79
[Er+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 14.87
[Gd+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 14.8
[Lu+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.32
[Nd+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 14.47
[Pr+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 14.17
[Sm+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 14.85
[Tm+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.04
[Ce+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 14.08
[Eu+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.62
[Nd+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 14.96
[Eu+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.21
[Tb+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.1
[Dy+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.08
[Er+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.17
[Gd+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.1
[Ho+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.06
[Lu+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.79
[Nd+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 14.7
[Pr+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 14.39
[Sm+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.17
[Tm+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.38
